Name,Mean,StandardDeviation,N.C. A&T,St. Mary's (Cal.),La Salle,James Madison,Illinois,Butler,Temple,Davidson,Pacific,California,Montana,LIU Brooklyn,Middle Tenn.,Wisconsin,Boise State,Iowa State,Arizona,Wichita State,Iona,Harvard,Southern Univ.,VCU,South Dakota State,Oklahoma,Minnesota,Western Kentucky,Northwestern State,Florida Gulf Coast,Liberty,North Carolina,Albany,Valparaiso,Cincinnati,Missouri,New Mexico St.,Oregon,Miami (FL),Bucknell,NC State,UNLV,Kansas State,Notre Dame,Pittsburgh,New Mexico,Akron,Georgetown,UCLA,Villanova,Duke,Memphis,Colorado State,Oklahoma State,Colorado,Syracuse,Belmont,Mississippi,Kansas,San Diego State,Michigan State,Saint Louis,Marquette,Gonzaga,Michigan,Creighton,Florida,Ohio State,Louisville,Indiana
N.C. A&T,0.0,0.00.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
St. Mary's (Cal.),0.0,0.00.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
La Salle,0.0,0.00.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
James Madison,0.0,0.00.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Illinois,0.025627999999999998,0.0307703637359788940.0,0.0,0.0,0.0,9.468152844444449E-4,-1.6827020666666662E-4,2.5837986666666664E-5,-2.9425417777777742E-5,0.0,2.2145833333333354E-5,0.0,5.019958444444445E-5,-1.9400395999999995E-4,0.0010553132644444442,0.0,-0.0014857434066666666,2.853048666666668E-5,-3.5956177777777714E-5,1.4464847333333335E-4,-8.722062666666666E-5,-3.0269515555555554E-5,7.58234755555556E-5,0.0,-1.1131909555555549E-4,1.7934951777777777E-4,0.0,0.0,-3.0269515555555554E-5,0.0,2.0143604444444448E-4,0.0,-3.542860888888888E-5,7.012965333333335E-5,-0.0011903310399999994,-5.104319333333332E-5,1.269341688888889E-4,-2.873433333333332E-4,1.0994742888888889E-4,6.861090222222225E-5,-2.346174999999999E-4,2.2570500000000006E-4,4.060896222222227E-5,-9.165215555555557E-5,3.059789600000002E-4,-6.053903111111111E-5,-0.0013098021511111107,-1.8768729555555553E-4,-5.8323266666666644E-5,8.39649444444444E-4,4.3456673777777756E-4,-3.0269515555555554E-5,-3.2485279999999964E-5,-2.3498028444444443E-4,-2.5788888888890317E-6,-1.045104222222207E-5,-8.131270888888887E-5,0.002262358333333334,1.6217409555555564E-4,-8.240536133333332E-4,-3.5156902888888855E-4,-2.9783902666666664E-4,-9.733881777777758E-5,-4.281800000000002E-4,-2.796996533333333E-4,-2.998255555555554E-4,0.0012095659711111127,-9.363611111111108E-5,1.5713541555555625E-4,
Butler,0.012002,0.0220237436518963440.0,0.0,0.0,0.0,-1.6827020666666662E-4,4.850452844444445E-4,-2.9971875555555556E-5,-1.2387590444444446E-4,0.0,4.576805555555553E-5,0.0,-1.4175695555555558E-5,1.4101396E-4,6.160835555555417E-6,0.0,0.0010424420844444447,-4.417497777777794E-6,-8.046395555555559E-5,-4.0846806666666666E-5,-4.0846806666666666E-5,2.200173777777778E-5,-6.726604222222224E-5,0.0,-1.0827180444444446E-4,1.747645999999998E-5,0.0,0.0,-1.4175695555555558E-5,0.0,-4.017138222222223E-4,0.0,6.467292000000002E-5,-4.252708666666667E-5,-7.301070822222222E-4,-4.669373333333334E-6,-6.289857777777777E-6,2.1402111111111106E-4,-1.1172528444444447E-4,3.30076444444444E-6,-6.520472222222222E-5,-6.210777777777778E-5,7.970137777777783E-6,6.694511111111102E-6,7.694958444444446E-5,7.826042222222222E-6,-5.397443044444445E-4,-3.247201555555557E-5,5.8323266666666664E-5,4.101444444444446E-5,-6.068211822222226E-4,-1.4175695555555558E-5,3.240968888888867E-6,-7.386757111111112E-5,0.001639053888888889,-2.2505083555555557E-4,-5.5022502222222234E-5,-0.0011637222222222222,-7.175819555555555E-5,-5.380851422222223E-4,8.506288177777778E-4,-3.146763177777778E-4,-1.0397395999999993E-4,2.3193277777777758E-4,-1.9427913333333333E-5,4.920477777777776E-4,0.0018871268066666662,-4.986944444444445E-4,-9.702926377777781E-4,
Temple,0.003189000000000001,0.0051347778270664580.0,0.0,0.0,0.0,2.5837986666666664E-5,-2.9971875555555556E-5,2.6365943333333335E-5,3.7942013333333336E-5,0.0,-6.277605555555554E-6,0.0,-3.7665633333333337E-6,-2.4140730000000003E-5,-1.8484625111111114E-4,0.0,-1.6977999777777783E-4,2.0962359999999995E-5,4.2892049999999985E-5,-1.0853230000000002E-5,-1.0853230000000002E-5,-3.7665633333333337E-6,5.0053126666666695E-5,0.0,5.758389111111112E-5,6.491386666666665E-6,0.0,0.0,8.788647777777781E-6,0.0,2.191728833333333E-4,0.0,-7.533126666666667E-6,1.2555211111111118E-6,5.036718411111111E-4,-1.0853230000000002E-5,2.155764E-5,-4.1634166666666655E-5,-4.575624444444443E-6,-3.3452610000000006E-5,-3.889989444444445E-5,8.061083333333332E-5,-1.0044168888888891E-5,-1.3364272222222226E-5,-3.7867603333333334E-5,-7.533126666666667E-6,-1.4845503666666667E-4,3.602861333333333E-5,-6.277605555555554E-6,-4.931138888888891E-5,4.1863184111111103E-4,-3.7665633333333337E-6,-5.022084444444443E-6,6.937846666666664E-6,-2.063991666666667E-4,1.0334958444444446E-4,-2.064582222222222E-6,-1.8750138888888888E-4,-3.7505002222222224E-5,-5.034131777777777E-5,-9.515149222222222E-5,6.333826444444446E-5,9.672118888888895E-6,-9.389833333333336E-5,-1.218079888888889E-5,-1.319891666666667E-4,-2.0263260333333328E-4,-1.505916666666667E-4,2.919576744444444E-4,
Davidson,0.012001999999999999,0.0220237436518963440.0,0.0,0.0,0.0,-2.9425417777777742E-5,-1.2387590444444446E-4,3.7942013333333336E-5,4.850452844444445E-4,0.0,7.087847777777778E-5,0.0,2.200173777777778E-5,-1.0386040000000003E-5,3.6375805777777795E-4,0.0,-4.104402666666667E-5,9.973805777777777E-5,3.424086111111111E-4,6.339729333333333E-5,-4.0846806666666666E-5,-1.6204844444444432E-6,6.051173555555552E-5,0.0,3.949170844444444E-4,-6.299264000000001E-5,0.0,0.0,6.629340444444446E-5,0.0,-2.85067288888889E-4,0.0,-2.8351391111111115E-5,8.667465777777778E-5,0.002659084584444444,-4.0846806666666666E-5,-5.5022502222222234E-5,-8.877888888888886E-5,4.1098682222222215E-5,3.4535422222222162E-6,-2.4090681111111115E-4,2.1378333333333335E-5,-3.632152888888889E-5,-4.881694444444445E-5,1.0041902888888887E-4,-1.579618E-5,-0.0010115967377777777,1.3133041777777774E-4,-5.832326666666668E-5,1.2315055555555562E-4,-7.582211822222224E-4,-1.4175695555555558E-5,2.8351391111111122E-5,1.3437930666666665E-4,-1.7014888888888894E-4,-2.2505083555555557E-4,-5.5022502222222234E-5,0.0015871555555555556,5.601958222222222E-5,5.8280835555555597E-5,-1.4610415555555562E-5,-5.117919511111111E-4,-2.0812951555555545E-4,-1.1111166666666679E-4,-1.9307410222222223E-4,-3.6076888888888895E-4,-0.00103450896,-3.2448055555555564E-4,-8.36553404444445E-4,
Pacific,0.0,0.00.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
California,0.005315,0.0056025019212649790.0,0.0,0.0,0.0,2.2145833333333354E-5,4.576805555555553E-5,-6.277605555555554E-6,7.087847777777778E-5,0.0,3.1388027777777784E-5,0.0,6.277605555555557E-6,4.0234550000000006E-5,2.2072604444444438E-4,0.0,2.9970694444444437E-4,7.441000000000006E-7,6.277605555555545E-6,1.8088716666666665E-5,-1.808871666666667E-5,6.277605555555557E-6,-2.3622222222222227E-5,0.0,3.3956944444444456E-5,-1.1811111111111118E-5,0.0,0.0,6.277605555555557E-6,0.0,-1.4579045000000004E-4,0.0,0.0,1.8832816666666667E-5,9.929010555555569E-5,-1.808871666666667E-5,-2.4366322222222225E-5,2.2145833333333354E-5,1.1811111111111108E-5,1.8088716666666672E-5,-1.0668386111111111E-4,-3.3956944444444456E-5,0.0,5.533505555555558E-6,7.566788333333335E-5,0.0,-3.502762166666667E-4,1.1811111111111098E-5,-6.277605555555554E-6,7.529583333333335E-5,-3.059845500000001E-4,-6.277605555555557E-6,1.2555211111111109E-5,0.0,3.9714861111111104E-4,-9.966215555555557E-5,-2.4366322222222225E-5,2.288402777777777E-4,2.2145833333333344E-5,-1.1811111111111112E-4,1.790151055555556E-4,-2.1408820000000004E-4,-6.23803833333333E-5,6.496111111111105E-5,-5.278976111111112E-5,2.2145833333333354E-5,2.0189322777777787E-4,-5.315000000000007E-5,-5.938803833333335E-4,
Montana,0.0,0.00.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
LIU Brooklyn,0.001063,0.00336150115275898760.0,0.0,0.0,0.0,5.019958444444445E-5,-1.4175695555555558E-5,-3.7665633333333337E-6,2.200173777777778E-5,0.0,6.277605555555557E-6,0.0,1.1299690000000002E-5,-8.04691E-6,2.4670576444444444E-4,0.0,-6.496347333333334E-5,-4.575624444444443E-6,1.1592605555555558E-5,3.2559690000000005E-5,-3.617743333333334E-6,-1.2555211111111114E-6,-6.937846666666669E-6,0.0,-1.1813473333333334E-5,2.659862222222223E-6,0.0,0.0,-1.2555211111111114E-6,0.0,-2.4136005555555565E-5,0.0,-2.5110422222222227E-6,8.788647777777781E-6,-1.047492011111111E-4,-3.617743333333334E-6,-4.8732644444444456E-6,-1.3878055555555551E-5,2.659862222222223E-6,2.502656333333333E-5,-2.1336772222222227E-5,-1.1515833333333334E-5,5.022084444444446E-6,-8.639827777777779E-6,5.529135444444445E-5,-2.5110422222222227E-6,-9.05758677777778E-5,-1.2108751111111115E-5,-6.277605555555557E-6,1.0364250000000002E-4,-6.81347566666667E-5,-1.2555211111111114E-6,2.5110422222222236E-6,-9.746528888888891E-6,4.3405833333333324E-5,-1.9932431111111113E-5,-4.8732644444444456E-6,3.853375E-4,6.378236222222223E-5,-1.5796180000000005E-5,2.044857666666667E-5,-4.5328682222222234E-5,-1.9413923333333327E-5,-7.677222222222233E-6,-2.0304481111111112E-5,-2.0374166666666665E-5,-2.3954941222222224E-4,-2.657500000000002E-5,-1.7311191222222226E-4,
Middle Tenn.,0.006813,0.021544597698727170.0,0.0,0.0,0.0,-1.9400395999999995E-4,1.4101396E-4,-2.4140730000000003E-5,-1.0386040000000003E-5,0.0,4.0234550000000006E-5,0.0,-8.04691E-6,4.6416968999999996E-4,6.719132000000005E-5,0.0,0.00350587896,-2.932617999999999E-5,-1.5756955E-4,-2.318691E-5,-2.318691E-5,7.242219E-5,-1.2493528000000003E-4,0.0,-7.571514E-5,-6.342146E-5,0.0,0.0,-8.04691E-6,0.0,-2.3516205000000004E-4,0.0,-1.609382E-5,-2.4140730000000003E-5,-6.713605899999999E-4,-2.318691E-5,-3.123382000000001E-5,3.463275E-4,-6.342146E-5,9.000730000000004E-6,-1.3675204999999998E-4,-7.38075E-5,-4.8281460000000006E-5,1.7649455000000002E-4,7.049941E-5,6.437528E-5,-1.4524559000000004E-4,1.5426146E-4,4.0234550000000006E-5,-3.009075E-4,-5.171596900000002E-4,-8.04691E-6,1.609382E-5,1.8001459999999998E-5,0.0012622974999999996,-1.2775132E-4,-3.123382000000001E-5,-0.0012206625,-2.6479859999999974E-5,-2.5264117999999994E-4,6.609594099999999E-4,-2.9052146E-4,-2.0489719E-4,7.645699999999998E-4,1.0173323E-4,-2.8198249999999997E-4,-0.0014548555899999997,-1.7032500000000003E-4,-8.776430900000003E-4,
Wisconsin,0.059254,0.079242461989909310.0,0.0,0.0,0.0,0.0010553132644444442,6.160835555555417E-6,-1.8484625111111114E-4,3.6375805777777795E-4,0.0,2.2072604444444438E-4,0.0,2.4670576444444444E-4,6.719132000000005E-5,0.00627936778222222,0.0,4.066141688888889E-4,-1.3974443999999984E-4,-2.8892844444444272E-5,7.108746533333334E-4,3.020798666666669E-5,1.0483542222222225E-5,-3.518890955555556E-4,0.0,-4.488386088888888E-4,7.886458666666681E-5,0.0,0.0,-5.743034666666667E-5,0.0,-0.0015993575000000004,0.0,-2.332458222222224E-5,1.9975895999999998E-4,-0.004068349442222221,-9.741701333333332E-5,-1.9929180444444445E-4,3.254777777777835E-5,8.9995831111111E-5,6.490151400000004E-4,-6.262327111111111E-4,-5.503822222222223E-4,9.389360888888883E-5,-8.879604444444451E-5,0.0013831753466666665,-5.9502015555555556E-5,-2.1800131999999973E-4,-4.0692236444444456E-4,-9.596527777777777E-5,0.002490634444444445,-0.0034839640977777785,-6.998555777777778E-5,9.123847111111106E-5,-3.461777088888889E-4,0.002886099444444443,-0.0011110783377777777,-2.7164667111111114E-4,0.008339600000000003,0.0013409952755555551,2.991168044444443E-4,0.0012878247911111103,-0.0016624625022222223,-7.084446533333332E-4,2.7051833333333237E-4,-6.902772933333334E-4,-2.3669611111111087E-4,-0.002990045208888888,-0.0010856861111111125,-0.00702903409777778,
Boise State,0.0,0.00.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Iowa State,0.055001999999999995,0.16280372899087210.0,0.0,0.0,0.0,-0.0014857434066666666,0.0010424420844444447,-1.6977999777777783E-4,-4.104402666666667E-5,0.0,2.9970694444444437E-4,0.0,-6.496347333333334E-5,0.00350587896,4.066141688888889E-4,0.0,0.026505054173333327,-1.8950860888888898E-4,-0.0011554275000000003,-1.8719014000000004E-4,-1.5101270666666668E-4,5.470056266666666E-4,-9.237043755555559E-4,0.0,-5.18231248888889E-4,-4.6327486222222234E-4,0.0,0.0,-5.2408262222222225E-5,0.0,-0.0018859304888888897,0.0,-1.2992694666666668E-4,-1.8233520888888893E-4,-0.004602038748888889,-1.8719014000000004E-4,-2.159761800000001E-4,0.0026158155555555565,-4.868970844444445E-4,4.7553331111111006E-5,-0.0010789019444444447,-5.043188888888891E-4,-3.897808400000001E-4,0.001328880277777778,4.857265955555554E-4,4.820421533333333E-4,-7.215506266666678E-4,0.00117301264,3.122621555555554E-4,-0.002314096666666667,-0.00411379173777778,-6.496347333333334E-5,1.1737173555555543E-4,1.5639451777777757E-4,0.009349106666666666,-0.0010313486133333334,-2.521536133333334E-4,-0.009402750000000001,-2.3888486222222227E-4,-0.0016675463866666672,0.004931457917777778,-0.002228760973333334,-0.001592866737777778,0.005744293888888888,7.378802088888886E-4,-0.0022528494444444447,-0.011139868748888889,-0.0014459166666666678,-0.006255565971111114,
Arizona,0.014504000000000001,0.0119066509891647440.0,0.0,0.0,0.0,2.853048666666668E-5,-4.417497777777794E-6,2.0962359999999995E-5,9.973805777777777E-5,0.0,7.441000000000006E-7,0.0,-4.575624444444443E-6,-2.932617999999999E-5,-1.3974443999999984E-4,0.0,-1.8950860888888898E-4,1.4176833777777777E-4,2.8126965555555554E-4,-1.3184513333333333E-5,-1.3184513333333333E-5,-4.575624444444443E-6,9.698201555555558E-5,0.0,1.5559139111111117E-4,5.562625333333332E-5,0.0,0.0,1.904659777777778E-5,0.0,-4.0316444444444454E-4,0.0,1.447097333333334E-5,9.895348888888887E-6,0.0012573375022222224,5.488215333333334E-5,7.392875111111112E-5,-6.132777777777728E-6,-3.7550835555555556E-5,-2.9571248888888894E-5,2.2770756666666667E-4,1.0663166666666667E-4,-2.894194666666667E-5,-5.6597433333333355E-5,-4.6001597777777774E-5,-2.170646E-5,-1.6607548666666648E-4,-2.479514222222224E-5,-1.1811111111111108E-5,1.288983333333333E-4,-7.588354866666671E-4,-1.713083555555556E-5,-3.809319555555555E-5,-3.631042222222232E-6,-3.932755555555558E-4,-2.719661155555556E-4,-6.649278222222223E-5,0.0011795305555555556,-1.0954583555555551E-4,-6.312319555555551E-5,-1.99404931111111E-4,-1.8934528000000007E-4,-2.065799311111111E-4,-1.8198166666666692E-4,-1.4339979333333333E-4,-2.664877777777777E-4,4.26305624444444E-4,-4.870750000000003E-4,2.4738617999999987E-4,
Wichita State,0.020815,0.0277691720558367850.0,0.0,0.0,0.0,-3.5956177777777714E-5,-8.046395555555559E-5,4.2892049999999985E-5,3.424086111111111E-4,0.0,6.277605555555545E-6,0.0,1.1592605555555558E-5,-1.5756955E-4,-2.8892844444444272E-5,0.0,-0.0011554275000000003,2.8126965555555554E-4,7.711269166666666E-4,3.340371666666667E-5,-7.084038333333334E-5,-2.4584827777777778E-5,2.3501409999999992E-4,0.0,4.010666000000001E-4,3.968132222222222E-5,0.0,0.0,5.5884272222222224E-5,0.0,-5.213487833333336E-4,0.0,4.385465555555557E-5,4.2892049999999985E-5,0.0032133639944444447,1.6102871666666668E-4,8.928798888888887E-5,-9.672916666666669E-5,-7.711798888888892E-5,-2.1080938888888915E-5,6.640182277777778E-4,1.2159583333333332E-4,-1.8307222222222228E-5,-1.6917969444444445E-4,-2.7852672222222223E-5,-4.9169655555555556E-5,-0.0011994801055555558,-5.236877777777792E-6,-7.419149444444445E-5,3.648763888888888E-4,-0.0010910832277777783,-2.4584827777777778E-5,-6.747687777777778E-5,4.101867777777776E-5,-0.0011413180555555557,-3.9030437777777777E-4,-9.542521111111112E-5,0.003828170833333335,-8.232493333333333E-5,-3.615491E-4,-5.122217722222222E-4,-2.5505444444444446E-4,-3.5652906111111103E-4,-5.211972222222223E-4,-2.683878833333334E-4,-4.914513888888888E-4,-9.08134388888889E-5,-9.148638888888893E-4,-3.1270927222222305E-4,
Iona,0.0030629999999999998,0.0096860564730957450.0,0.0,0.0,0.0,1.4464847333333335E-4,-4.0846806666666666E-5,-1.0853230000000002E-5,6.339729333333333E-5,0.0,1.8088716666666665E-5,0.0,3.2559690000000005E-5,-2.318691E-5,7.108746533333334E-4,0.0,-1.8719014000000004E-4,-1.3184513333333333E-5,3.340371666666667E-5,9.381969E-5,-1.042441E-5,-3.617743333333334E-6,-1.9991180000000005E-5,0.0,-3.404014E-5,7.664306666666663E-6,0.0,0.0,-3.617743333333334E-6,0.0,-6.95471166666667E-5,0.0,-7.235486666666668E-6,2.5324203333333332E-5,-3.018314233333333E-4,-1.042441E-5,-1.4042153333333335E-5,-3.9989166666666667E-5,7.664306666666663E-6,7.211323000000001E-5,-6.148121666666668E-5,-3.31825E-5,1.447097333333333E-5,-2.4895383333333336E-5,1.5932024333333334E-4,-7.235486666666668E-6,-2.609914233333333E-4,-3.4890973333333345E-5,-1.808871666666667E-5,2.986425E-4,-1.9632809000000006E-4,-3.617743333333334E-6,7.235486666666665E-6,-2.808430666666667E-5,1.250725E-4,-5.7434653333333335E-5,-1.4042153333333335E-5,0.0011103375000000003,1.8378680666666667E-4,-4.5516179999999995E-5,5.892191E-5,-1.3061312666666668E-4,-5.594058999999999E-5,-2.2121666666666686E-5,-5.850670333333334E-5,-5.87075E-5,-6.902538566666667E-4,-7.657500000000003E-5,-4.988163566666668E-4,
